2024-08-25 23:25:38,484 - my_logger - INFO - Final Test Metrics - SDR: -inf, SIR: -inf, SAR: -inf
2024-08-25 23:25:51,456 - my_logger - DEBUG - Input shape after reshape: torch.Size([1, 23482, 2050])
2024-08-25 23:25:51,485 - my_logger - DEBUG - Output from LSTM shape: torch.Size([1, 23482, 256])
2024-08-25 23:25:51,486 - my_logger - DEBUG - Mask shape before final reshape: torch.Size([1, 23482, 2050])
2024-08-25 23:27:04,923 - my_logger - DEBUG - Mixture spec shape: (2, 1025, 603), Target spec shape: (2, 1025, 603)
2024-08-25 23:27:05,936 - my_logger - DEBUG - Input shape after reshape: torch.Size([1, 603, 2050])
2024-08-25 23:27:05,939 - my_logger - DEBUG - Output from LSTM shape: torch.Size([1, 603, 256])
2024-08-25 23:27:05,941 - my_logger - DEBUG - Mask shape before final reshape: torch.Size([1, 603, 2050])
2024-08-25 23:27:12,201 - my_logger - DEBUG - Input shape after reshape: torch.Size([1, 23482, 2050])
2024-08-25 23:27:12,240 - my_logger - DEBUG - Output from LSTM shape: torch.Size([1, 23482, 256])
2024-08-25 23:27:12,243 - my_logger - DEBUG - Mask shape before final reshape: torch.Size([1, 23482, 2050])
